;alg;mae;ndcg10;period;rmse
0;SVD с затуханием;0.9264702874554102;0.004182684553074268;2020-01 - 2020-03;1.1295801351789498
1;SVD с затуханием;1.0562658734602075;0.004734958867206829;2020-03 - 2020-08;1.2624897082913829
2;SVD с затуханием;1.0331253330480745;0.005410695145869649;2020-08 - 2020-10;1.2121130133409639
