;alg;ndcg10;period
0;SVD с затуханием;0.004666433206558705;2020-01 - 2020-03
1;SVD с затуханием;0.004222675557881663;2020-03 - 2020-08
2;SVD с затуханием;0.0027570201500687255;2020-08 - 2020-10
